"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","pacific","uro","s-190",0,0,"0%","0%"
"com","moderately managed","ort","s-615",0.01,0.01,"0.01%","0.01%"
"com","east south central","ped","p-580",0.01,0.01,"0.01%","0.01%"
"com","mountain","thor","s-800",0,0,"0%","0%"
"com","mountain","bh","b-018-ip",0,0,"0%","0%"
"com","east south central","cv","s-282",0,0,"0%","0%"
"com","east south central","ort","s-110",0,0,"0%","0%"
"com","middle atlantic","neuro","m-222",0,0,"0%","0%"
"com","west south central","hns","mg-hnd",0.02,0.02,"0.02%","0.02%"
"com","weighted national","ns","s-380",0,0,"0%","0%"
"com","west south central","card","mg-c",0.03,0.02,"0.03%","0.02%"
"com","west south central","ped","p-130",0,0,"0%","0%"
"com","middle atlantic","ped","p-260",0,0,"0%","0%"
"com","new england","neuro","m-327",0.02,0.01,"0.02%","0.01%"
"com","middle atlantic","neo","p-265",0.16,0.24,"0.16%","0.24%"
"com","east north central","gi","m-570",0.02,0.02,"0.02%","0.02%"
"com","moderately managed","bh","b-013-ip",0,0,"0%","0%"
"com","west north central","neuro","m-152",0,0,"0%","0%"
"com","middle atlantic","uro","s-890",0.01,0.02,"0.01%","0.02%"
"com","others","gs","s-232",0.01,0.05,"0.01%","0.05%"
"com","new england","thor","m-545",0.01,0.01,"0.01%","0.01%"
"com","weighted national","bh","b-002-ip",0.01,0.01,"0.01%","0.01%"
"com","pacific","ort","s-565",0,0,"0%","0%"
"com","south atlantic","id","m-610",0,0,"0%","0%"
"com","others","cv","s-281",0,0,"0%","0%"
"com","south atlantic","endo","s-1090",0,0.01,"0%","0.01%"
"com","well managed","uro","s-1015",0,0.01,"0%","0.01%"
"com","west north central","cv","sg-cvs",0.05,0.05,"0.05%","0.05%"
"com","east north central","hns","s-780",0,0,"0%","0%"
"com","loosely managed","gs","s-795",0,0,"0%","0%"
"com","west north central","ped","p-565",0,0,"0%","0%"
"com","well managed","ped","p-432",0,0,"0%","0%"
"com","west north central","bh","b-015-ip",0.13,0.32,"0.13%","0.32%"
"com","east south central","hns","s-940",0,0,"0%","0%"
"com","south atlantic","ob","s-850",0,0,"0%","0%"
"com","well managed","ob","mg-obd-gy",0,0.01,"0%","0.01%"
"com","pacific","ns","s-410",0.01,0.02,"0.01%","0.02%"
"com","mountain","card","m-190",0.05,0.05,"0.05%","0.05%"
"com","new england","cv","s-292",0,0,"0%","0%"
"com","east north central","bh","b-021-ip",0,0,"0%","0%"
"com","west south central","id","m-600",0,0,"0%","0%"
"com","mountain","thor","m-110",0,0,"0%","0%"
"com","new england","ort","s-700",0.14,0.19,"0.14%","0.19%"
"com","others","neph","m-310",0,0,"0%","0%"
"com","weighted national","cv","s-1310",0.01,0.01,"0.01%","0.01%"
"com","mountain","gs","s-250",0.02,0.03,"0.02%","0.03%"
"com","west south central","gi","m-05",0.01,0.01,"0.01%","0.01%"
"com","east south central","uro","s-910",0,0,"0%","0%"
"com","south atlantic","cv","s-131",0,0,"0%","0%"
"com","south atlantic","cv","s-390",0.03,0.03,"0.03%","0.03%"
"com","pacific","cv","s-152",0,0,"0%","0%"
"com","middle atlantic","neo","p-357",0.74,0.75,"0.74%","0.75%"
"com","weighted national","ob","s-775",0.01,0.01,"0.01%","0.01%"
"com","moderately managed","endo","s-22",0,0,"0%","0%"
"com","west north central","gi","mg-gas",0.07,0.05,"0.07%","0.05%"
"com","east south central","bh","b-002-ip",0.01,0.01,"0.01%","0.01%"
"com","south atlantic","bh","b-030-ip",0,0,"0%","0%"
"com","mountain","bh","b-025-ip",0,0,"0%","0%"
"com","west north central","gs","s-512",0,0.01,"0%","0.01%"
"com","east south central","ort","s-1230",0,0,"0%","0%"
"com","south atlantic","ped","p-580",0.01,0.01,"0.01%","0.01%"
"com","pacific","ort","s-634",0.01,0.02,"0.01%","0.02%"
"com","pacific","bh","b-007-ip",0,0,"0%","0%"
"com","weighted national","cv","s-140",0,0,"0%","0%"
"com","new england","thor","mg-pul",0.03,0.02,"0.03%","0.02%"
"com","loosely managed","endo","s-22",0,0,"0%","0%"
"com","new england","ped","p-795",0,0,"0%","0%"
"com","east north central","ophth","s-900",0,0,"0%","0%"
"com","west north central","card","m-333",0,0,"0%","0%"
"com","west north central","thor","s-1082",0.01,0.01,"0.01%","0.01%"
"com","mountain","gi","m-560",0,0.01,"0%","0.01%"
"com","west north central","thor","s-802",0,0.01,"0%","0.01%"
"com","south atlantic","ob","s-775",0.01,0.01,"0.01%","0.01%"
"com","pacific","gi","m-550",0,0.01,"0%","0.01%"
"com","well managed","ob","s-350",0.46,0.57,"0.46%","0.57%"
"com","west north central","gs","s-1060",0,0,"0%","0%"
"com","pacific","ort","s-424",0,0,"0%","0%"
"com","middle atlantic","hema","m-87",0.03,0.03,"0.03%","0.03%"
"com","others","cv","s-150",0,0,"0%","0%"
"com","loosely managed","bh","b-001-ip",0,0,"0%","0%"
"com","loosely managed","neuro","m-85",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","ort","m-63",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","bh","b-029-ip",0,0,"0%","0%"
"com","new england","gs","s-440",0,0,"0%","0%"
"com","moderately managed","uro","s-960",0.02,0.01,"0.02%","0.01%"
"com","weighted national","ort","s-680",0,0,"0%","0%"
"com","loosely managed","cv","sg-cvs",0.06,0.05,"0.06%","0.05%"
"com","new england","ns","s-412",0,0,"0%","0%"
"com","east north central","ob","s-850",0,0,"0%","0%"
"com","middle atlantic","bh","b-022-ip",0.05,0.05,"0.05%","0.05%"
"com","east south central","endo","s-930",0,0,"0%","0%"
"com","pacific","gi","m-170",0.03,0.04,"0.03%","0.04%"
"com","west north central","ob","s-1180",1.32,1.15,"1.32%","1.15%"
"com","moderately managed","ped","p-300",0,0,"0%","0%"
"com","east south central","cv","s-281",0,0,"0%","0%"
"com","others","gi","m-05",0.07,0.01,"0.07%","0.01%"
"com","moderately managed","ped","p-114",0,0,"0%","0%"
"com","new england","ort","s-320",0.02,0.04,"0.02%","0.04%"
"com","middle atlantic","ort","s-490",0,0,"0%","0%"
"com","weighted national","gs","s-1305",0.02,0.02,"0.02%","0.02%"
"com","others","uro","s-1172",0,0,"0%","0%"
"com","east north central","ns","s-412",0,0,"0%","0%"
"com","mountain","ped","p-410",0.01,0,"0.01%","0%"
"com","west south central","neo","pg-neo",0.07,0.11,"0.07%","0.11%"
"com","west south central","thor","m-500",0.01,0.01,"0.01%","0.01%"
"com","east north central","uro","mg-ud",0.02,0.03,"0.02%","0.03%"
"com","weighted national","cv","s-480",0,0,"0%","0%"
"com","new england","gs","s-175",0.01,0.01,"0.01%","0.01%"
"com","weighted national","ped","p-140",0.01,0.01,"0.01%","0.01%"
